what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1369146969616
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1369146969663
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1369146969709
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1369146969788
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1369146969810
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1369146969857
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1369146969858
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1369146969939
started,bundle,org.apache.hadoop.eclipse,0.18,"org.apache.hadoop.eclipse",1369146969939
os,sysinfo,,,"linux",1369146969946
arch,sysinfo,,,"x86_64",1369146969946
ws,sysinfo,,,"gtk",1369146969946
locale,sysinfo,,,"zh_CN",1369146969946
processors,sysinfo,,,"4",1369146969946
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1369146969946
java.runtime.version,sysinfo,,,"1.6.0_27-b27",1369146969946
java.specification.name,sysinfo,,,"Java Platform API Specification",1369146969947
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1369146969947
java.specification.version,sysinfo,,,"1.6",1369146969947
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1369146969947
java.version,sysinfo,,,"1.6.0_27",1369146969947
java.vm.info,sysinfo,,,"mixed mode",1369146969947
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1369146969947
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1369146969947
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1369146969947
java.vm.specification.version,sysinfo,,,"1.0",1369146969947
