what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370657285325
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370657471742
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370657476717
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370657819780
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1370657846854
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370657849266
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370658079418
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1370658129371
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370658130353
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370658172269
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1370658297099
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370658347832
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370658664793
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1370658700395
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370658769321
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370658837742
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370658850556
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370659157484
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370659189648
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370659216267
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370659217722
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370659568767
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1370659584794
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370659585455
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370659641951
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1370659664778
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1370659694575
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1370659814280
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370659814974
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370659828302
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1370659848591
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1370659866952
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1370659903447
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1370659920475
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1370659944734
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1370659947237
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1370659992618
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1370659997840
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1370660000083
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1370660009463
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370660011877
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370660082372
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1370660090999
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370660091697
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370660126637
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1370660150426
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370660155458
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370660166784
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1370660195556
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1370660209235
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1370660299851
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1370660368823
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1370660376397
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1370660376397
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370660389146
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370660604334
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1370660649657
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370660654148
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370660659369
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370660665056
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370660668400
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1370660694029
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370660697333
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370661062414
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370661110182
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370661220533
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370661238833
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370661465065
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370661466843
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370661531001
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1370661540475
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1370661541454
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1370661542759
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370661545538
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370661727152
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1370661736954
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370661738490
