what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369122250492
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369122256953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369122324810
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369122354863
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.search.references.in.workspace",1369122355958
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369122355980
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369122364650
opened,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1369122368453
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1369122368491
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.search.references.in.working.set",1369122368573
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369122368599
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1369122368717
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1369122375834
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1369122375896
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1369122377435
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1369122377461
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1369122378505
closed,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1369122378518
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369122388322
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.search.references.in.hierarchy",1369122389292
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369122389323
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369122393948
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.search.declarations.in.workspace",1369122394945
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369122394967
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369122402895
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.search.declarations.in.working.set",1369122403857
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369122403874
opened,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1369122410778
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1369122410816
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1369122412487
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1369122412577
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1369122412588
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1369122417278
closed,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1369122417296
error,log,,,"Internal Error",1369122431244
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369122533063
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369122632167
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1369122634019
