what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.search.references.in.workspace",1370673452622
started,bundle,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.ui",1370673452751
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370673453240
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1370673453246
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1370673453381
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1370673453419
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370673453537
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1370673465621
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370673470695
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370673565902
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370673567274
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370673571057
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1370673635862
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1370673638678
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1370673644683
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370673655062
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370673744486
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1370673747133
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370673761629
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370673841463
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1370673852846
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370673853634
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370673908365
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370673986943
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370674070245
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1370674075398
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1370674079059
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1370674079076
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1370674081449
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1370674095974
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370674146915
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370674188092
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370674234851
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370674245611
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1370674267070
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370674431513
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370674564670
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370674596695
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370674635473
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1370674727694
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1370674792985
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1370674795503
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370674796990
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370674817320
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370674822348
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370674826093
